date,count
2014-10-07,254937
2014-10-08,269485
2014-10-09,261648
2014-10-10,212873
2014-10-11,135602
2014-10-12,142894
2014-10-13,241548
2014-10-14,247588
2014-10-15,217477
2014-10-16,241095
2014-10-17,219634
2014-10-18,174604
2014-10-19,148121
2014-10-20,235418
2014-10-21,274550
2014-10-22,308840
2014-10-23,219635
2014-10-24,230757
2014-10-25,169231
2014-10-26,138603
2014-10-27,220410
2014-10-28,211953
2014-10-29,224093
2014-10-30,234189
2014-10-31,184948
2014-11-01,200630
2014-11-02,161453
2014-11-03,275164
2014-11-04,258593
2014-11-05,301027
2014-11-06,334350
2014-11-07,234383
2014-11-08,164842
2014-11-09,166282
2014-11-10,250810
2014-11-11,248454
2014-11-12,324168
2014-11-13,332795
2014-11-14,227554
2014-11-15,161648
2014-11-16,162422
2014-11-17,0
2014-11-18,536430
2014-11-19,221424
2014-11-20,174589
2014-11-21,182343
2014-11-22,154189
2014-11-23,165760
2014-11-24,258791
2014-11-25,257606
2014-11-26,238711
2014-11-27,204324
2014-11-28,190223
2014-11-29,160263
2014-11-30,133195
2014-12-01,264991
2014-12-02,288841
2014-12-03,297070
2014-12-04,258841
2014-12-05,221510
2014-12-06,175962
2014-12-07,170543
2014-12-08,245492
2014-12-09,261785
2014-12-10,267653
2014-12-11,239449
2014-12-12,224018
2014-12-13,184076
2014-12-14,156088
2014-12-15,211594
2014-12-16,228122
2014-12-17,227947
2014-12-18,214071
2014-12-19,201406
2014-12-20,173481
2014-12-21,128746
2014-12-22,171419
2014-12-23,143499
2014-12-24,139203
2014-12-25,103383
2014-12-26,109735
2014-12-27,159311
2014-12-28,109704
2014-12-29,154320
2014-12-30,138501
2014-12-31,114020
2015-01-01,62324
2015-01-02,143301
2015-01-03,127092
2015-01-04,130334
2015-01-05,219073
2015-01-06,235962
2015-01-07,240967
2015-01-08,265741
2015-01-09,217067
2015-01-10,152375
2015-01-11,160479
2015-01-12,264987
2015-01-13,270174
2015-01-14,346408
2015-01-15,276569
2015-01-16,575028
2015-01-17,201818
2015-01-18,254936
2015-01-19,301527
2015-01-20,301389
2015-01-21,326460
2015-01-22,295080
2015-01-23,253986
2015-01-24,199809
2015-01-25,176268
2015-01-26,294427
2015-01-27,323141
2015-01-28,321485
2015-01-29,299421
2015-01-30,283428
2015-01-31,173966
2015-02-01,165195
2015-02-02,327405
2015-02-03,316939
2015-02-04,331008
2015-02-05,332047
2015-02-06,292996
2015-02-07,181671
2015-02-08,179049
2015-02-09,310992
2015-02-10,297447
2015-02-11,299797
2015-02-12,276650
